date,company_tax,ecommerce_tax,orders,units,source
2025-09-01,4473826540.76,129133672.66,1391.0,45726.539000000004,Reporte subido
2025-09-02,4540808685.53,113790774.85,1253.0,41404.911,Reporte subido
2025-09-03,4318617273.23,128770686.12,1463.0,41319.649,Reporte subido
2025-09-04,4394969550.71,129786282.64999999,1675.0,42488.513,Reporte subido
2025-09-05,5048151514.59,140880329.57999998,1740.0,44323.141,Reporte subido
2025-09-06,8045494111.79,160388717.47,1615.0,49010.927,Reporte subido
2025-09-07,6041266626.81,76094981.02000001,496.0,11677.17,Reporte subido
2025-09-08,4199620588.9,127667032.49,1227.0,38460.195999999996,Reporte subido
2025-09-09,3954613131.27,112136147.15,1247.0,38287.142,Reporte subido
2025-09-10,3903718453.6,119910828.49,1371.0,32258.374,Reporte subido
2025-09-11,4322578204.84,119602092.78,1703.0,36515.439,Reporte subido
2025-09-12,4241214808.77,159352285.07,1743.0,39771.826,Reporte subido
2025-09-13,6100305142.4,134123610.76,1297.0,32663.112,Reporte subido
2025-09-14,5021459800.49,45561965.53,409.0,8572.505,Reporte subido
2025-09-15,3563817657.5,101052293.45,1046.0,28309.697,Reporte subido
2025-09-16,3408372748.33,98636434.52,919.0,24446.611,Reporte subido
2025-09-17,3550272619.32,122001185.6,1282.0,28823.957000000002,Reporte subido
2025-09-18,3796156504.88,124863282.93,1588.0,35003.709,Reporte subido
2025-09-19,3847995121.57,111577339.36,1392.0,30639.018,Reporte subido
2025-09-20,6339448695.52,134860998.87,1109.0,24360.504,Reporte subido
2025-09-21,5217013323.79,41703189.1,395.0,6662.933,Reporte subido
2025-09-22,2982730003.98,116046759.74,959.0,22330.596,Reporte subido
2025-09-23,3325903080.99,109656227.83,910.0,20294.986,Reporte subido
2025-09-24,4323768324.79,134847414.89,1156.0,23649.795,Reporte subido
2025-09-25,3493515595.64,190605041.07,2360.0,56056.518,Reporte subido
2025-09-26,3982482304.9,232151089.98,2143.0,46222.998,Reporte subido
2025-09-27,6221022262.24,63227902.38,479.0,10236.27,Reporte subido
2025-09-28,5534936892.84,25118472.29,96.0,1073.062,Reporte subido
2025-09-29,83110748.60000001,26976062.53,144.0,2794.663,Reporte subido
2025-09-30,4218914208.52,175720834.64,1648.0,49434.340000000004,Reporte subido
2026-08-01,8480824816.72,128338552.76,1136.0,41368.343,Reporte subido
2026-08-02,7030349304.46,26005064.84,256.0,5586.544,Reporte subido
2026-08-03,5621050741.24,189023058.77,1577.0,57472.815,Reporte subido
2026-08-04,4338655175.31,184263920.01,1549.0,47955.37,Reporte subido
2026-08-05,4081253567.54,128804379.05,1076.0,28865.995,Reporte subido
2026-08-06,4564362280.12,114358287.51,1141.0,29508.714,Reporte subido
2026-08-07,5422637137.92,149103207.46,1512.0,41240.093,Reporte subido
2026-08-08,8299943061.0,148126545.04,1147.0,32791.25,Reporte subido
2026-08-09,7005060912.79,28578124.92,179.0,4953.577,Reporte subido
2026-08-10,4899950421.03,166594318.9,1374.0,42107.182,Reporte subido
2026-08-11,3859898420.02,146062944.59,1220.0,33818.167,Reporte subido
2026-08-12,3861313764.8,113716911.24,906.0,20664.025,Reporte subido
2026-08-13,4646362604.26,104221597.34,1138.0,24777.662,Reporte subido
2026-08-14,4949081307.64,150748928.01,1583.0,34474.457,Reporte subido
2026-08-15,7931327042.52,129971958.61,1150.0,26132.094,Reporte subido
2026-08-16,6363460112.63,25611512.759999998,180.0,3350.617,Reporte subido
2026-08-17,6704657796.88,106380791.3,1027.0,29071.771,Reporte subido
2026-08-18,3256830140.29,147545326.07999998,1305.0,37675.792,Reporte subido
2026-08-19,3083946472.63,77864770.89,750.0,18537.836,Reporte subido
2026-08-20,3536601028.0299997,66385784.46,844.0,18793.139,Reporte subido
